,Accuracy,F1-score,ROC-AUC
Train,0.9728585011669115,0.9732978059980725,0.9946560013520902
Validation,0.9100443727309399,0.9124230920277523,0.9707681170111361
Test,0.9036031191180425,0.9066284672483397,0.9664894168905336
